ep: 10800, running mean: 1.701988
ep: 10900, running mean: 1.940330
ep: 11000, running mean: 2.075973
ep: 11100, running mean: 2.068482
ep: 11200, running mean: 2.059269
ep: 11300, running mean: 1.971518
ep: 11400, running mean: 2.012494
ep: 11500, running mean: 2.051520
ep: 11600, running mean: 2.011804
ep: 11700, running mean: 2.103678
ep: 11800, running mean: 2.228021
ep: 11900, running mean: 2.419416
ep: 12000, running mean: 2.358773
ep: 12100, running mean: 2.366016
ep: 12200, running mean: 2.428654
ep: 12300, running mean: 2.411528
ep: 12400, running mean: 2.470986
ep: 12500, running mean: 2.518356
ep: 12600, running mean: 2.465732
ep: 12700, running mean: 2.480753
ep: 12800, running mean: 2.548784
ep: 12900, running mean: 2.345620
ep: 13000, running mean: 2.309905
ep: 13100, running mean: 2.226839
ep: 13200, running mean: 2.167137
ep: 13300, running mean: 2.170939
ep: 13400, running mean: 2.207862
ep: 13500, running mean: 2.172262
ep: 13600, running mean: 2.366640
ep: 13700, running mean: 2.271956
ep: 13800, running mean: 2.152998
ep: 13900, running mean: 2.060854
ep: 14000, running mean: 2.171370
ep: 14100, running mean: 2.255636
ep: 14200, running mean: 2.364251
ep: 14300, running mean: 2.210078
ep: 14400, running mean: 2.228851
ep: 14500, running mean: 2.223933
ep: 14600, running mean: 2.163703
ep: 14700, running mean: 2.127509
ep: 14800, running mean: 2.212120
ep: 14900, running mean: 2.266383
ep: 15000, running mean: 2.409287
ep: 15100, running mean: 2.407764
ep: 15200, running mean: 2.369503
ep: 15300, running mean: 2.581306
ep: 15400, running mean: 2.660076
ep: 15500, running mean: 2.559269
ep: 15600, running mean: 2.674974
ep: 15700, running mean: 2.698839
ep: 15800, running mean: 2.650870
ep: 15900, running mean: 2.644750
ep: 16000, running mean: 2.699902
ep: 16100, running mean: 2.730210
ep: 16200, running mean: 2.738832
ep: 16300, running mean: 2.729858
ep: 16400, running mean: 2.812752
ep: 16500, running mean: 2.853020
ep: 16600, running mean: 2.730344
ep: 16700, running mean: 2.600192
ep: 16800, running mean: 2.423882
ep: 16900, running mean: 2.481610
ep: 17000, running mean: 2.493593
ep: 17100, running mean: 2.598238
ep: 17200, running mean: 2.527216
ep: 17300, running mean: 2.554301
ep: 17400, running mean: 2.523379
ep: 17500, running mean: 2.647057
ep: 17600, running mean: 2.778946
ep: 17700, running mean: 2.855089
ep: 17800, running mean: 2.886541
ep: 17900, running mean: 2.746772
ep: 18000, running mean: 2.905658
ep: 18100, running mean: 2.765619
ep: 18200, running mean: 2.845016
ep: 18300, running mean: 2.915273
ep: 18400, running mean: 3.115427
ep: 18500, running mean: 3.203843
ep: 18600, running mean: 3.243445
ep: 18700, running mean: 3.296765
ep: 18800, running mean: 3.520858
