using saved model.
start training - 2017-02-05 15:44:37.348000
ep: 100, running mean: -5.882782
ep: 12300, running mean: -4.273228
ep: 12400, running mean: -4.227328
ep: 12500, running mean: -4.206964
ep: 12600, running mean: -4.206607
ep: 12700, running mean: -4.209532
ep: 12800, running mean: -4.266191
ep: 12900, running mean: -4.202311
ep: 13000, running mean: -4.140659
ep: 13100, running mean: -4.261574
ep: 13200, running mean: -4.196603
ep: 13300, running mean: -4.062504
ep: 13400, running mean: -3.862755
ep: 13500, running mean: -3.855285
ep: 13600, running mean: -3.736894
ep: 13700, running mean: -3.796473
ep: 13800, running mean: -3.851412
ep: 13900, running mean: -3.919062
ep: 14000, running mean: -3.829156
ep: 14100, running mean: -3.867381
ep: 14200, running mean: -3.747537
ep: 14300, running mean: -3.908315
ep: 14400, running mean: -3.900676
ep: 14500, running mean: -4.023988
ep: 14600, running mean: -4.005371
ep: 14700, running mean: -4.003504
ep: 14800, running mean: -3.932447
ep: 14900, running mean: -3.919488
ep: 15000, running mean: -3.892983
ep: 15100, running mean: -4.057726
ep: 15200, running mean: -4.168709
ep: 15300, running mean: -4.248908
ep: 15400, running mean: -4.206085
ep: 15500, running mean: -4.128886
ep: 15600, running mean: -4.080235
ep: 15700, running mean: -4.077340
ep: 15800, running mean: -4.051129
ep: 15900, running mean: -4.124312
ep: 16000, running mean: -4.097834
ep: 16100, running mean: -4.277230
ep: 16200, running mean: -4.324951
ep: 16300, running mean: -4.255990
ep: 16400, running mean: -4.212841
ep: 16500, running mean: -4.325550
ep: 16600, running mean: -4.328826
ep: 16700, running mean: -4.329515
ep: 16800, running mean: -4.299705
ep: 16900, running mean: -4.368278
ep: 17000, running mean: -4.274458
ep: 17100, running mean: -4.320681
ep: 17200, running mean: -4.403737
ep: 17300, running mean: -4.384333
ep: 17400, running mean: -4.447128
ep: 17500, running mean: -4.637311
ep: 17600, running mean: -4.652506
ep: 17700, running mean: -4.553568
ep: 17800, running mean: -4.518963
ep: 17900, running mean: -4.549907
ep: 18000, running mean: -4.554630
ep: 18100, running mean: -4.672634
ep: 18200, running mean: -4.626926
ep: 18300, running mean: -4.532121
ep: 18400, running mean: -4.541771
ep: 18500, running mean: -4.474806
ep: 18600, running mean: -4.428236
ep: 18700, running mean: -4.424362
ep: 18800, running mean: -4.428741
ep: 18900, running mean: -4.428902
ep: 19000, running mean: -4.312186
ep: 19100, running mean: -4.242007
ep: 19200, running mean: -4.217499
ep: 19300, running mean: -4.351868
ep: 19400, running mean: -4.336513
ep: 19500, running mean: -4.357735
ep: 19600, running mean: -4.346221
ep: 19700, running mean: -4.409369
ep: 19800, running mean: -4.388120
ep: 19900, running mean: -4.279203
ep: 20000, running mean: -4.136550
ep: 20100, running mean: -4.233765
ep: 20200, running mean: -4.325794
ep: 20300, running mean: -4.333672
ep: 20400, running mean: -4.492438
ep: 20500, running mean: -4.541816
ep: 20600, running mean: -4.698923
ep: 20700, running mean: -4.534873
ep: 20800, running mean: -4.519285
ep: 20900, running mean: -4.604977
ep: 21000, running mean: -4.414120
ep: 21100, running mean: -4.490077
ep: 21200, running mean: -4.486416
ep: 21300, running mean: -4.422303
ep: 21400, running mean: -4.535871
ep: 21500, running mean: -4.581118
ep: 21600, running mean: -4.600112
ep: 21700, running mean: -4.522506
ep: 21800, running mean: -4.512727
ep: 21900, running mean: -4.406232
ep: 22000, running mean: -4.462363
ep: 22100, running mean: -4.453745
ep: 22200, running mean: -4.425889
ep: 22300, running mean: -4.483221
ep: 22400, running mean: -4.593818
ep: 22500, running mean: -4.632710
ep: 22600, running mean: -4.629680
ep: 22700, running mean: -4.646748
ep: 22800, running mean: -4.446121
ep: 22900, running mean: -4.366759
ep: 23000, running mean: -4.338226
ep: 23100, running mean: -4.287755
ep: 23200, running mean: -4.280986
ep: 23300, running mean: -4.388835
ep: 23400, running mean: -4.423596
ep: 23500, running mean: -4.555899
ep: 23600, running mean: -4.483898
ep: 23700, running mean: -4.416111
ep: 23800, running mean: -4.395906
ep: 23900, running mean: -4.299095
ep: 24000, running mean: -4.346977
ep: 24100, running mean: -4.297835
ep: 24200, running mean: -4.247631
ep: 24300, running mean: -4.206316
ep: 24400, running mean: -4.167544
ep: 24500, running mean: -4.189173
ep: 24600, running mean: -4.269507
ep: 24700, running mean: -4.203005
ep: 24800, running mean: -4.298721
ep: 24900, running mean: -4.290550
ep: 25000, running mean: -4.143613
ep: 25100, running mean: -4.169055
ep: 25200, running mean: -4.192999
ep: 25300, running mean: -4.364219
ep: 25400, running mean: -4.366724
ep: 25500, running mean: -4.389927
ep: 25600, running mean: -4.353174
ep: 25700, running mean: -4.360121
ep: 25800, running mean: -4.270349
ep: 25900, running mean: -4.186586
ep: 26000, running mean: -4.134145
ep: 26100, running mean: -3.915238
ep: 26200, running mean: -3.885885
ep: 26300, running mean: -3.781415
ep: 26400, running mean: -3.704703
ep: 26500, running mean: -3.674292
ep: 26600, running mean: -3.538379
ep: 26700, running mean: -3.469678
ep: 26800, running mean: -3.581509
ep: 26900, running mean: -3.622668
ep: 27000, running mean: -3.720217
ep: 27100, running mean: -3.800819
ep: 27200, running mean: -3.879080
ep: 27300, running mean: -3.807766
ep: 27400, running mean: -3.926067
ep: 27500, running mean: -3.992738
ep: 27600, running mean: -3.821533
ep: 27700, running mean: -3.855162
ep: 27800, running mean: -3.922607
ep: 27900, running mean: -3.776652
ep: 28000, running mean: -3.602123
ep: 28100, running mean: -3.580412
ep: 28200, running mean: -3.623422
ep: 28300, running mean: -3.524742
ep: 28400, running mean: -3.512520
ep: 28500, running mean: -3.385565
ep: 28600, running mean: -3.466606
ep: 28700, running mean: -3.423612
ep: 28800, running mean: -3.309002
ep: 28900, running mean: -3.303210
ep: 29000, running mean: -3.122623
ep: 29100, running mean: -3.068720
ep: 29200, running mean: -3.122410
ep: 29300, running mean: -3.111555
ep: 29400, running mean: -3.215697
ep: 29500, running mean: -3.141389
ep: 29600, running mean: -3.069171
ep: 29700, running mean: -3.065546
ep: 29800, running mean: -3.210472
ep: 29900, running mean: -3.381489
ep: 30000, running mean: -3.401612
ep: 30100, running mean: -3.301598
ep: 30200, running mean: -3.159418
ep: 30300, running mean: -3.030224
ep: 30400, running mean: -3.062585
ep: 30500, running mean: -3.017688
ep: 30600, running mean: -3.032840
ep: 30700, running mean: -2.950840
ep: 30800, running mean: -3.011563
ep: 30900, running mean: -3.027086
ep: 31000, running mean: -3.156826
ep: 31100, running mean: -3.104684
ep: 31200, running mean: -3.172441
ep: 31300, running mean: -3.332479
ep: 31400, running mean: -3.224734
ep: 31500, running mean: -3.104343
ep: 31600, running mean: -2.977448
ep: 31700, running mean: -3.075812
ep: 31800, running mean: -3.313893
ep: 31900, running mean: -3.342651
ep: 32000, running mean: -3.257701
ep: 32100, running mean: -3.272326
ep: 32200, running mean: -3.362044
ep: 32300, running mean: -3.392866
ep: 32400, running mean: -3.351721
ep: 32500, running mean: -3.394736
ep: 32600, running mean: -3.412832
ep: 32700, running mean: -3.332903
ep: 32800, running mean: -3.303341
ep: 32900, running mean: -3.431069
ep: 33000, running mean: -3.445288
ep: 33100, running mean: -3.387243
ep: 33200, running mean: -3.350683
ep: 33300, running mean: -3.414660
ep: 33400, running mean: -3.604969
ep: 33500, running mean: -3.659080
ep: 33600, running mean: -3.560805
ep: 33700, running mean: -3.662920
ep: 33800, running mean: -3.521572
ep: 33900, running mean: -3.662080
ep: 34000, running mean: -3.675009
ep: 34100, running mean: -3.765274
ep: 34200, running mean: -3.902260
ep: 34300, running mean: -3.893334
ep: 34400, running mean: -3.788845
ep: 34500, running mean: -3.844617
ep: 34600, running mean: -3.841218
ep: 34700, running mean: -3.762942
ep: 34800, running mean: -3.459606
ep: 34900, running mean: -3.303297
ep: 35000, running mean: -3.333797
ep: 35100, running mean: -3.553897
ep: 35200, running mean: -3.350725
ep: 35300, running mean: -3.295581
ep: 35400, running mean: -3.416393
ep: 35500, running mean: -3.339178
ep: 35600, running mean: -3.329704
ep: 35700, running mean: -3.283463
ep: 35800, running mean: -3.449380
ep: 35900, running mean: -3.117902
ep: 36000, running mean: -3.125981
ep: 36100, running mean: -3.192812
ep: 36200, running mean: -3.102676
ep: 36300, running mean: -3.151244
ep: 36400, running mean: -3.267282
ep: 36500, running mean: -3.065811
ep: 36600, running mean: -2.904852
ep: 36700, running mean: -2.934599
ep: 36800, running mean: -2.940388
ep: 36900, running mean: -2.795303
ep: 37000, running mean: -2.850909
ep: 37100, running mean: -2.843388
ep: 37200, running mean: -2.724569
ep: 37300, running mean: -2.730655
ep: 37400, running mean: -2.643701
ep: 37500, running mean: -2.583821
ep: 37600, running mean: -2.273103
ep: 37700, running mean: -2.116260
ep: 37800, running mean: -2.046937
ep: 37900, running mean: -1.869455
ep: 38000, running mean: -1.806188
ep: 38100, running mean: -1.573700
ep: 38200, running mean: -1.444237
ep: 38300, running mean: -1.402231
ep: 38400, running mean: -1.423295
ep: 38500, running mean: -1.573384
ep: 38600, running mean: -1.594587
ep: 38700, running mean: -1.713132
ep: 38800, running mean: -1.682129
ep: 38900, running mean: -1.594194
ep: 39000, running mean: -1.402381
ep: 39100, running mean: -1.403405
ep: 39200, running mean: -1.415260
ep: 39300, running mean: -1.375869
ep: 39400, running mean: -1.474355
ep: 39500, running mean: -1.619954
ep: 39600, running mean: -1.573292
ep: 39700, running mean: -1.710357
ep: 39800, running mean: -1.696367
ep: 39900, running mean: -1.815723
ep: 40000, running mean: -1.892735
