using saved model.
start learning - 2017-02-04 01:13:13.360000
ep: 100, running mean: -4.037869
ep: 60500, running mean: -9.000675
ep: 60600, running mean: -9.039540
ep: 60700, running mean: -8.978938
ep: 60800, running mean: -9.037550
ep: 60900, running mean: -9.034081
ep: 61000, running mean: -8.994368
ep: 61100, running mean: -9.052483
ep: 61200, running mean: -9.085235
ep: 61300, running mean: -9.154432
ep: 61400, running mean: -9.118434
ep: 61500, running mean: -9.108159
ep: 61600, running mean: -9.155204
ep: 61700, running mean: -9.160440
ep: 61800, running mean: -9.144997
ep: 61900, running mean: -9.129302
ep: 62000, running mean: -9.193536
ep: 62100, running mean: -9.193187
ep: 62200, running mean: -9.214006
ep: 62300, running mean: -9.173431
ep: 62400, running mean: -9.175219
ep: 62500, running mean: -9.196416
ep: 62600, running mean: -9.158923
ep: 62700, running mean: -9.161872
ep: 62800, running mean: -9.106535
ep: 62900, running mean: -9.095853
ep: 63000, running mean: -9.009738
ep: 63100, running mean: -9.066552
ep: 63200, running mean: -9.024352
ep: 63300, running mean: -9.099000
ep: 63400, running mean: -8.993688
ep: 63500, running mean: -9.051484
ep: 63600, running mean: -9.045668
ep: 63700, running mean: -9.003905
ep: 63800, running mean: -9.022859
ep: 63900, running mean: -9.097650
ep: 64000, running mean: -9.126846
ep: 64100, running mean: -9.075196
ep: 64200, running mean: -9.026574
ep: 64300, running mean: -8.946092
ep: 64400, running mean: -8.929825
ep: 64500, running mean: -8.919318
ep: 64600, running mean: -8.906546
ep: 64700, running mean: -8.858688
ep: 64800, running mean: -8.833676
ep: 64900, running mean: -8.889643
ep: 65000, running mean: -8.843241
ep: 65100, running mean: -8.876573
ep: 65200, running mean: -8.867910
ep: 65300, running mean: -8.842018
ep: 65400, running mean: -8.874699
ep: 65500, running mean: -8.887552
ep: 65600, running mean: -8.937993
ep: 65700, running mean: -8.942488
ep: 65800, running mean: -8.891393
ep: 65900, running mean: -8.977990
ep: 66000, running mean: -9.056500
ep: 66100, running mean: -9.109241
ep: 66200, running mean: -9.175959
ep: 66300, running mean: -9.215346
ep: 66400, running mean: -9.232906
ep: 66500, running mean: -9.210553
ep: 66600, running mean: -9.189197
ep: 66700, running mean: -9.229440
ep: 66800, running mean: -9.207991
ep: 66900, running mean: -9.149968
ep: 67000, running mean: -9.155354
ep: 67100, running mean: -9.120213
ep: 67200, running mean: -9.147646
ep: 67300, running mean: -9.113269
ep: 67400, running mean: -9.064681
ep: 67500, running mean: -9.079536
ep: 67600, running mean: -9.013805
ep: 67700, running mean: -9.013342
ep: 67800, running mean: -9.032537
ep: 67900, running mean: -8.992622
ep: 68000, running mean: -8.994000
ep: 68100, running mean: -8.955840
ep: 68200, running mean: -8.978796
ep: 68300, running mean: -8.904998
ep: 68400, running mean: -8.894603
ep: 68500, running mean: -8.963009
ep: 68600, running mean: -9.024693
ep: 68700, running mean: -9.079695
ep: 68800, running mean: -9.110998
ep: 68900, running mean: -9.099291
ep: 69000, running mean: -9.110619
ep: 69100, running mean: -9.043646
ep: 69200, running mean: -9.058792
ep: 69300, running mean: -9.110545
ep: 69400, running mean: -9.003196
ep: 69500, running mean: -9.002222
ep: 69600, running mean: -9.022492
ep: 69700, running mean: -8.926289
ep: 69800, running mean: -8.914024
ep: 69900, running mean: -8.960419
ep: 70000, running mean: -9.003896
ep: 70100, running mean: -9.021492
ep: 70200, running mean: -8.944757
ep: 70300, running mean: -8.969751
ep: 70400, running mean: -8.990389
ep: 70500, running mean: -9.028308
ep: 70600, running mean: -8.969001
ep: 70700, running mean: -8.932082
ep: 70800, running mean: -8.937322
ep: 70900, running mean: -8.924945
ep: 71000, running mean: -8.873205
ep: 71100, running mean: -8.867001
ep: 71200, running mean: -8.879428
ep: 71300, running mean: -8.870471
ep: 71400, running mean: -8.844171
ep: 71500, running mean: -8.859377
ep: 71600, running mean: -8.854299
ep: 71700, running mean: -8.906749
ep: 71800, running mean: -8.972828
ep: 71900, running mean: -9.032603
ep: 72000, running mean: -8.955593
ep: 72100, running mean: -8.943020
ep: 72200, running mean: -8.875527
ep: 72300, running mean: -8.845974
ep: 72400, running mean: -8.805056
ep: 72500, running mean: -8.824388
ep: 72600, running mean: -8.898543
ep: 72700, running mean: -8.887383
ep: 72800, running mean: -8.936494
ep: 72900, running mean: -8.979959
ep: 73000, running mean: -8.923935
ep: 73100, running mean: -8.855039
ep: 73200, running mean: -8.887249
ep: 73300, running mean: -8.896775
ep: 73400, running mean: -8.983243
ep: 73500, running mean: -8.985493
ep: 73600, running mean: -8.892955
ep: 73700, running mean: -8.979403
ep: 73800, running mean: -8.944172
ep: 73900, running mean: -8.928849
ep: 74000, running mean: -8.915547
ep: 74100, running mean: -8.848954
ep: 74200, running mean: -8.900986
ep: 74300, running mean: -8.890175
ep: 74400, running mean: -8.881382
ep: 74500, running mean: -8.891856
ep: 74600, running mean: -8.959196
ep: 74700, running mean: -8.982220
ep: 74800, running mean: -9.021124
ep: 74900, running mean: -8.941343
ep: 75000, running mean: -8.931083
ep: 75100, running mean: -8.975255
ep: 75200, running mean: -8.901628
ep: 75300, running mean: -8.911142
ep: 75400, running mean: -8.900707
ep: 75500, running mean: -8.851109
ep: 75600, running mean: -8.885049
ep: 75700, running mean: -8.857480
ep: 75800, running mean: -8.890812
ep: 75900, running mean: -8.782556
ep: 76000, running mean: -8.726357
ep: 76100, running mean: -8.716306
ep: 76200, running mean: -8.723750
ep: 76300, running mean: -8.788513
ep: 76400, running mean: -8.827676
ep: 76500, running mean: -8.749299
ep: 76600, running mean: -8.792202
ep: 76700, running mean: -8.812174
ep: 76800, running mean: -8.808508
ep: 76900, running mean: -8.865934
ep: 77000, running mean: -8.898075
ep: 77100, running mean: -8.907135
ep: 77200, running mean: -8.859610
ep: 77300, running mean: -8.873922
ep: 77400, running mean: -8.886642
ep: 77500, running mean: -8.935845
ep: 77600, running mean: -8.902473
ep: 77700, running mean: -8.891905
ep: 77800, running mean: -8.862544
ep: 77900, running mean: -8.915193
ep: 78000, running mean: -8.922234
ep: 78100, running mean: -8.951652
ep: 78200, running mean: -8.994434
ep: 78300, running mean: -8.938326
ep: 78400, running mean: -8.869333
ep: 78500, running mean: -8.880186
ep: 78600, running mean: -8.855974
ep: 78700, running mean: -8.869843
ep: 78800, running mean: -8.921205
ep: 78900, running mean: -8.948062
ep: 79000, running mean: -8.954272
ep: 79100, running mean: -8.860701
ep: 79200, running mean: -8.836081
ep: 79300, running mean: -8.697298
ep: 79400, running mean: -8.746122
ep: 79500, running mean: -8.788962
ep: 79600, running mean: -8.732729
ep: 79700, running mean: -8.777987
ep: 79800, running mean: -8.721258
ep: 79900, running mean: -8.805274
ep: 80000, running mean: -8.804795
ep: 80100, running mean: -8.861411
ep: 80200, running mean: -8.818236
ep: 80300, running mean: -8.833792
ep: 80400, running mean: -8.830568
ep: 80500, running mean: -8.846283
ep: 80600, running mean: -8.859934
ep: 80700, running mean: -8.912250
ep: 80800, running mean: -8.938990
ep: 80900, running mean: -8.961630
ep: 81000, running mean: -8.967134
ep: 81100, running mean: -8.891749
ep: 81200, running mean: -8.901827
ep: 81300, running mean: -8.871902
ep: 81400, running mean: -8.884029
ep: 81500, running mean: -8.895604
ep: 81600, running mean: -8.827856
ep: 81700, running mean: -8.767177
ep: 81800, running mean: -8.773764
ep: 81900, running mean: -8.776246
