using saved model.
start training - 2017-02-05 18:22:43.968000
ep: 29600, running mean: -3.357511
ep: 29700, running mean: -3.091804
ep: 29800, running mean: -3.044124
ep: 29900, running mean: -2.940666
ep: 30000, running mean: -2.928792
ep: 30100, running mean: -2.931846
ep: 30200, running mean: -2.859066
ep: 30300, running mean: -2.891489
ep: 30400, running mean: -2.675620
ep: 30500, running mean: -2.687881
ep: 30600, running mean: -2.564076
ep: 30700, running mean: -2.512454
ep: 30800, running mean: -2.459030
ep: 30900, running mean: -2.472830
ep: 31000, running mean: -2.389172
ep: 31100, running mean: -2.349084
ep: 31200, running mean: -2.224059
ep: 31300, running mean: -2.266783
ep: 31400, running mean: -2.237807
ep: 31500, running mean: -2.081136
ep: 31600, running mean: -2.169707
ep: 31700, running mean: -1.867099
ep: 31800, running mean: -1.918067
ep: 31900, running mean: -1.771571
ep: 32000, running mean: -1.736738
ep: 32100, running mean: -1.589712
ep: 32200, running mean: -1.460510
ep: 32300, running mean: -1.588745
ep: 32400, running mean: -1.360730
ep: 32500, running mean: -1.135360
ep: 32600, running mean: -0.798327
ep: 32700, running mean: -0.435670
ep: 32800, running mean: -0.395941
ep: 32900, running mean: -0.243927
ep: 33000, running mean: -0.122600
ep: 33100, running mean: 0.081094
ep: 33200, running mean: 0.263813
ep: 33300, running mean: 0.354036
ep: 33400, running mean: 0.379025
ep: 33500, running mean: 0.418335
ep: 33600, running mean: 0.493805
ep: 33700, running mean: 0.598789
ep: 33800, running mean: 0.754463
ep: 33900, running mean: 0.855628
ep: 34000, running mean: 0.850094
ep: 34100, running mean: 0.861783
ep: 34200, running mean: 1.003889
ep: 34300, running mean: 1.214271
ep: 34400, running mean: 1.137601
ep: 34500, running mean: 1.070183
ep: 34600, running mean: 1.119692
ep: 34700, running mean: 1.048751
ep: 34800, running mean: 1.044376
ep: 34900, running mean: 1.100140
ep: 35000, running mean: 1.261521
ep: 35100, running mean: 1.256384
ep: 35200, running mean: 1.444696
ep: 35300, running mean: 1.615818
ep: 35400, running mean: 1.615478
ep: 35500, running mean: 1.633757
ep: 35600, running mean: 1.675328
ep: 35700, running mean: 1.837326
ep: 35800, running mean: 2.007574
ep: 35900, running mean: 2.089696
ep: 36000, running mean: 2.217575
ep: 36100, running mean: 2.174653
ep: 36200, running mean: 2.271367
ep: 36300, running mean: 2.302148
ep: 36400, running mean: 2.519815
ep: 36500, running mean: 2.736283
ep: 36600, running mean: 2.855182
ep: 36700, running mean: 2.985204
ep: 36800, running mean: 2.872174
ep: 36900, running mean: 3.076099
ep: 37000, running mean: 2.973756
ep: 37100, running mean: 2.877185
ep: 37200, running mean: 2.775233
ep: 37300, running mean: 2.908691
ep: 37400, running mean: 2.916519
ep: 37500, running mean: 2.964968
ep: 37600, running mean: 3.047474
ep: 37700, running mean: 3.176594
ep: 37800, running mean: 3.160751
ep: 37900, running mean: 3.413188
ep: 38000, running mean: 3.448372
ep: 38100, running mean: 3.476273
ep: 38200, running mean: 3.491199
ep: 38300, running mean: 3.503474
ep: 38400, running mean: 3.453563
ep: 38500, running mean: 3.429727
ep: 38600, running mean: 3.394735
ep: 38700, running mean: 3.452373
ep: 38800, running mean: 3.464162
ep: 38900, running mean: 3.592447
ep: 39000, running mean: 3.729644
ep: 39100, running mean: 3.873544
ep: 39200, running mean: 3.885775
ep: 39300, running mean: 3.853871
ep: 39400, running mean: 3.830150
ep: 39500, running mean: 3.809298
ep: 39600, running mean: 3.882320
ep: 39700, running mean: 3.814564
ep: 39800, running mean: 3.849459
ep: 39900, running mean: 3.884151
ep: 40000, running mean: 3.877746
ep: 40100, running mean: 3.790278
ep: 40200, running mean: 3.733967
ep: 40300, running mean: 3.797683
ep: 40400, running mean: 3.839529
ep: 40500, running mean: 3.855471
ep: 40600, running mean: 3.676318
ep: 40700, running mean: 3.671011
ep: 40800, running mean: 3.757606
ep: 40900, running mean: 3.668882
ep: 41000, running mean: 3.620232
ep: 41100, running mean: 3.638695
ep: 41200, running mean: 3.670198
ep: 41300, running mean: 3.662362
ep: 41400, running mean: 3.618736
ep: 41500, running mean: 3.725145
ep: 41600, running mean: 3.901522
ep: 41700, running mean: 3.835591
ep: 41800, running mean: 3.849588
ep: 41900, running mean: 3.957388
ep: 42000, running mean: 3.849817
ep: 42100, running mean: 3.940258
ep: 42200, running mean: 3.888119
ep: 42300, running mean: 3.958075
ep: 42400, running mean: 4.097604
replace opponent model now: ep 42400
running mean: 4.09760380617
ep: 42500, running mean: -0.151195
ep: 42600, running mean: -0.253949
ep: 42700, running mean: -0.266375
ep: 42800, running mean: -0.126819
ep: 42900, running mean: -0.115737
ep: 43000, running mean: -0.103975
ep: 43100, running mean: 0.002463
ep: 43200, running mean: 0.039298
ep: 43300, running mean: -0.019443
ep: 43400, running mean: 0.056846
ep: 43500, running mean: 0.356379
ep: 43600, running mean: 0.321213
ep: 43700, running mean: 0.463079
ep: 43800, running mean: 0.671517
ep: 43900, running mean: 0.816910
ep: 44000, running mean: 0.892221
ep: 44100, running mean: 0.843632
ep: 44200, running mean: 0.834829
ep: 44300, running mean: 0.920919
ep: 44400, running mean: 1.023328
ep: 44500, running mean: 1.171800
ep: 44600, running mean: 1.419750
ep: 44700, running mean: 1.479431
ep: 44800, running mean: 1.550152
ep: 44900, running mean: 1.514990
ep: 45000, running mean: 1.580587
ep: 45100, running mean: 1.581877
ep: 45200, running mean: 1.606312
ep: 45300, running mean: 1.755999
ep: 45400, running mean: 1.820852
ep: 45500, running mean: 2.034838
ep: 45600, running mean: 2.316751
ep: 45700, running mean: 2.283999
ep: 45800, running mean: 2.558760
ep: 45900, running mean: 2.567613
ep: 46000, running mean: 2.554333
ep: 46100, running mean: 2.671373
ep: 46200, running mean: 2.838977
ep: 46300, running mean: 2.972324
ep: 46400, running mean: 3.206677
ep: 46500, running mean: 3.319454
ep: 46600, running mean: 3.576169
ep: 46700, running mean: 3.709788
ep: 46800, running mean: 3.849014
ep: 46900, running mean: 3.902069
ep: 47000, running mean: 3.893908
ep: 47100, running mean: 3.957284
ep: 47200, running mean: 4.112513
replace opponent model now: ep 47200
running mean: 4.11251297338
ep: 47300, running mean: -1.961982
ep: 47400, running mean: -1.637400
ep: 47500, running mean: -1.349542
ep: 47600, running mean: -1.298935
ep: 47700, running mean: -1.154005
ep: 47800, running mean: -0.932954
ep: 47900, running mean: -0.784405
ep: 48000, running mean: -0.706112
ep: 48100, running mean: -0.732234
ep: 48200, running mean: -0.758648
ep: 48300, running mean: -0.629862
ep: 48400, running mean: -0.689356
ep: 48500, running mean: -0.645025
ep: 48600, running mean: -0.449989
ep: 48700, running mean: -0.328736
ep: 48800, running mean: -0.200613
ep: 48900, running mean: -0.117628
ep: 49000, running mean: 0.069283
